Input File,Species,BIC,Kernel,Mean
simulations54,Species 2,1154.1577648466523,RationalQuadratic,Zero
simulations54,Species 3,1029.9000210736506,RationalQuadratic,Zero
simulations76,Species 1,259.9995414643097,RationalQuadratic,Zero
simulations76,Species 2,307.5972617302623,RationalQuadratic,Zero
simulations76,Species 3,515.0152831492978,RationalQuadratic,Zero
simulations99,Species 1,198.18508264336148,Exponential,Zero
simulations99,Species 2,205.63484951466657,RationalQuadratic,Zero
simulations99,Species 3,360.27806812983977,Exponential,Zero
simulations87,Species 1,788.0944930015715,Exponential,Zero
simulations87,Species 2,-3.100704828894294,RationalQuadratic,Zero
simulations87,Species 3,-22.825353912528726,RationalQuadratic,Zero
simulations10,Species 1,325.14229150973995,RationalQuadratic,Zero
simulations10,Species 2,767.3993647036802,Exponential,Zero
simulations10,Species 3,190.56823849321276,RationalQuadratic,Zero
simulations2,Species 1,214.12831806600528,RationalQuadratic,Zero
simulations2,Species 2,531.7385291149308,Exponential,Zero
simulations2,Species 3,346.5062005111037,Linear,Zero
simulations39,Species 1,277.9916228758743,RationalQuadratic,Zero
simulations39,Species 2,1145.4797281770814,Linear,Zero
simulations39,Species 3,1130.4343319020886,Linear,Zero
simulations42,Species 1,329.45981551631087,RationalQuadratic,Zero
simulations42,Species 2,510.83869802454194,Linear,Zero
simulations42,Species 3,495.24030289960535,RationalQuadratic,Zero
simulations97,Species 1,352.1702576745894,RationalQuadratic,Zero
simulations97,Species 2,501.83167204035556,RationalQuadratic,Zero
simulations97,Species 3,179.47287570261196,RationalQuadratic,Zero
simulations69,Species 1,808.785867271655,RationalQuadratic,Zero
simulations69,Species 2,608.6603950099977,RationalQuadratic,Zero
simulations69,Species 3,117.06928385880522,RationalQuadratic,Zero
simulations0,Species 1,1134.7566105541948,Polynomial,Zero
simulations0,Species 2,1132.9910512407241,RationalQuadratic,Zero
simulations0,Species 3,1142.5783657341922,RationalQuadratic,Zero
simulations64,Species 1,239.79188052829724,RationalQuadratic,Zero
simulations64,Species 2,919.591873212047,Matern12,Zero
simulations64,Species 3,1152.8097278961773,Linear,Zero
simulations60,Species 1,226.35872578729234,RationalQuadratic,Zero
simulations60,Species 2,277.90742246885276,Matern12,Zero
simulations60,Species 3,499.19757344095206,RationalQuadratic,Zero
simulations41,Species 1,1153.419587514175,Linear,Zero
simulations41,Species 2,678.1360095825935,RationalQuadratic,Zero
simulations41,Species 3,475.70253868129043,RationalQuadratic,Zero
simulations48,Species 1,818.9619339797266,Matern32,Zero
simulations48,Species 2,366.41413092348284,Matern12,Zero
simulations48,Species 3,1055.0805419884282,RationalQuadratic,Zero
simulations86,Species 1,264.16017946502154,Exponential,Zero
simulations86,Species 2,452.2631131535296,Linear,Zero
simulations86,Species 3,326.43226211201625,RationalQuadratic,Zero
simulations33,Species 1,1057.4474492739691,RationalQuadratic,Zero
simulations33,Species 2,1122.0391102399205,Polynomial,Zero
simulations33,Species 3,225.14341428913045,RationalQuadratic,Zero
simulations16,Species 1,268.0799458382568,RationalQuadratic,Zero
simulations16,Species 2,1043.8459698981103,RationalQuadratic,Zero
simulations16,Species 3,421.26024516265795,Linear,Zero
simulations5,Species 1,471.4624574677558,RationalQuadratic,Zero
simulations5,Species 2,441.8456441960643,Linear,Zero
simulations5,Species 3,225.86614301797485,RationalQuadratic,Zero
simulations83,Species 1,80.38003515358108,RationalQuadratic,Zero
simulations83,Species 2,439.4652453143159,Exponential,Zero
simulations83,Species 3,957.6371370990166,SquaredExponential,Zero
simulations31,Species 1,291.3882005118048,RationalQuadratic,Zero
simulations31,Species 2,244.1094624925839,RationalQuadratic,Zero
simulations31,Species 3,366.0785040588395,RationalQuadratic,Zero
simulations47,Species 1,104.05267467297895,RationalQuadratic,Zero
simulations47,Species 2,228.03639715481583,Exponential,Zero
simulations47,Species 3,675.0920663158722,RationalQuadratic,Zero
simulations51,Species 1,710.970770495729,Matern32,Zero
simulations51,Species 2,143.10910220185397,RationalQuadratic,Zero
simulations51,Species 3,557.9837812437968,Matern12,Zero
simulations59,Species 1,1148.9062380270311,Linear,Zero
simulations59,Species 2,432.50037260939723,Matern12,Zero
simulations59,Species 3,192.1307988416614,RationalQuadratic,Zero
simulations12,Species 1,192.3158774084861,Exponential,Zero
simulations12,Species 2,442.0469645103316,RationalQuadratic,Zero
simulations12,Species 3,293.06843273558036,Exponential,Zero
simulations75,Species 1,500.39617329378086,RationalQuadratic,Zero
simulations75,Species 2,449.03576218404226,RationalQuadratic,Zero
simulations75,Species 3,144.35338377683397,RationalQuadratic,Zero
simulations32,Species 1,260.93164063423194,RationalQuadratic,Zero
simulations32,Species 2,879.4283172996843,Matern32,Zero
simulations32,Species 3,554.3622014998182,Linear,Zero
simulations98,Species 1,209.75548462366427,Exponential,Zero
simulations98,Species 2,292.45175633550593,Exponential,Zero
simulations98,Species 3,383.5271646819551,RationalQuadratic,Zero
simulations58,Species 1,409.9736609071383,RationalQuadratic,Zero
simulations58,Species 2,761.7521848771217,RationalQuadratic,Zero
simulations58,Species 3,468.3462760125782,Exponential,Zero
simulations96,Species 1,687.4444741344053,RationalQuadratic,Zero
simulations96,Species 2,426.8320385986152,RationalQuadratic,Zero
simulations96,Species 3,585.4890630030716,RationalQuadratic,Zero
simulations52,Species 1,200.75454419189393,RationalQuadratic,Zero
simulations52,Species 2,422.34120025159245,Linear,Zero
simulations52,Species 3,345.64252737841747,Exponential,Zero
simulations81,Species 1,141.75407607438578,RationalQuadratic,Zero
simulations81,Species 2,967.8094054241128,RationalQuadratic,Zero
simulations81,Species 3,574.6749327196583,Exponential,Zero
simulations63,Species 1,977.0382159671774,RationalQuadratic,Zero
