Input File,Species,BIC,Kernel,Mean
simulations65,Species 1,190.93938921066407,RationalQuadratic,Zero
simulations65,Species 2,200.454390275223,RationalQuadratic,Zero
simulations65,Species 3,837.6945605712451,RationalQuadratic,Zero
simulations54,Species 1,366.14507818155397,RationalQuadratic,Zero
simulations54,Species 2,1068.2358231025357,RationalQuadratic,Zero
simulations54,Species 3,1018.8720527588526,RationalQuadratic,Zero
simulations76,Species 1,320.12422160913275,RationalQuadratic,Zero
simulations76,Species 2,368.273416630614,RationalQuadratic,Zero
simulations76,Species 3,649.0463452849924,RationalQuadratic,Zero
simulations99,Species 1,244.81438669434934,RationalQuadratic,Zero
simulations99,Species 2,235.9948935351192,RationalQuadratic,Zero
simulations99,Species 3,411.4121799899559,RationalQuadratic,Zero
simulations87,Species 1,498.7308794119649,RationalQuadratic,Zero
simulations87,Species 2,48.46179737579642,RationalQuadratic,Zero
simulations87,Species 3,34.330001157442084,RationalQuadratic,Zero
simulations10,Species 1,400.1077835444434,RationalQuadratic,Zero
simulations10,Species 2,836.0868067037909,RationalQuadratic,Zero
simulations10,Species 3,219.1067426360693,RationalQuadratic,Zero
simulations2,Species 1,266.407317332903,RationalQuadratic,Zero
simulations2,Species 2,638.092794637019,Matern32,Zero
simulations2,Species 3,415.1235582104825,RationalQuadratic,Zero
simulations39,Species 1,334.8405432013572,RationalQuadratic,Zero
simulations39,Species 2,992.949288039221,RationalQuadratic,Zero
simulations39,Species 3,862.0180135941855,RationalQuadratic,Zero
simulations42,Species 1,409.573841333112,RationalQuadratic,Zero
simulations42,Species 2,614.6013423134422,RationalQuadratic,Zero
simulations42,Species 3,555.923451224928,RationalQuadratic,Zero
simulations97,Species 1,388.89483961945604,RationalQuadratic,Zero
simulations97,Species 2,558.9694323067969,RationalQuadratic,Zero
simulations97,Species 3,211.74084539083773,RationalQuadratic,Zero
simulations69,Species 1,570.4135937762848,RationalQuadratic,Zero
simulations69,Species 2,458.12296468192807,RationalQuadratic,Zero
simulations69,Species 3,143.38655003871494,RationalQuadratic,Zero
simulations0,Species 1,864.8386275010339,Matern52,Zero
simulations0,Species 2,1004.832082391022,RationalQuadratic,Zero
simulations0,Species 3,908.5554436370679,RationalQuadratic,Zero
simulations64,Species 1,263.6722361896962,RationalQuadratic,Zero
simulations64,Species 2,770.8655924880419,RationalQuadratic,Zero
simulations64,Species 3,876.7172642836744,RationalQuadratic,Zero
simulations60,Species 1,277.67482153621734,RationalQuadratic,Zero
simulations60,Species 2,355.3031590368376,RationalQuadratic,Zero
simulations60,Species 3,673.9143734063675,RationalQuadratic,Zero
simulations41,Species 1,875.0020139964718,RationalQuadratic,Zero
simulations41,Species 2,732.1602183011288,RationalQuadratic,Zero
simulations41,Species 3,519.6626382491636,RationalQuadratic,Zero
simulations48,Species 1,947.9511742638169,RationalQuadratic,Zero
simulations48,Species 2,415.4978299253783,RationalQuadratic,Zero
simulations48,Species 3,853.8012067351431,RationalQuadratic,Zero
simulations86,Species 1,337.7404450498265,RationalQuadratic,Zero
simulations86,Species 2,536.8840371710792,RationalQuadratic,Zero
simulations86,Species 3,376.3055283898317,RationalQuadratic,Zero
simulations33,Species 1,965.5643042470755,RationalQuadratic,Zero
simulations33,Species 2,1094.3020242043908,RationalQuadratic,Zero
simulations33,Species 3,268.8712361666615,RationalQuadratic,Zero
simulations16,Species 1,321.3848922957679,RationalQuadratic,Zero
simulations16,Species 2,822.7420046153945,Matern52,Zero
simulations16,Species 3,526.7847576360392,RationalQuadratic,Zero
simulations5,Species 1,617.8511625598252,RationalQuadratic,Zero
simulations5,Species 2,529.6875406365606,Matern32,Zero
simulations5,Species 3,227.04818578483653,RationalQuadratic,Zero
simulations83,Species 1,88.79309421313933,RationalQuadratic,Zero
simulations83,Species 2,425.87942153590626,RationalQuadratic,Zero
simulations83,Species 3,618.1810431272114,Matern52,Zero
simulations31,Species 1,315.22836083542205,RationalQuadratic,Zero
simulations31,Species 2,289.4144969839455,RationalQuadratic,Zero
simulations31,Species 3,364.60333714533834,RationalQuadratic,Zero
simulations47,Species 1,124.98093719084191,RationalQuadratic,Zero
simulations47,Species 2,275.97083864004736,RationalQuadratic,Zero
simulations47,Species 3,775.0334947121805,RationalQuadratic,Zero
simulations51,Species 1,414.615884645674,RationalQuadratic,Zero
simulations51,Species 2,182.03745701420925,RationalQuadratic,Zero
simulations51,Species 3,430.9003044283411,Matern32,Zero
simulations59,Species 1,913.763170662272,RationalQuadratic,Zero
